iter	Passed	Remaining
174	700	79392
175	704	79343
176	707	79289
177	711	79255
178	718	79514
179	723	79665
180	728	79736
181	731	79690
182	735	79621
183	738	79571
184	742	79543
185	746	79478
186	750	79496
187	753	79448
188	757	79390
189	761	79365
190	764	79305
191	768	79329
192	772	79260
193	776	79259
194	780	79301
195	784	79303
196	788	79250
197	791	79207
198	795	79106
199	799	79166
200	802	79075
201	806	78999
202	809	78964
203	813	78951
204	817	78945
205	822	78990
206	825	78955
207	830	78983
208	833	78942
209	837	78928
210	841	78904
211	844	78867
212	848	78842
213	852	78788
214	856	78783
215	860	78838
216	865	78859
217	868	78818
218	873	78904
219	877	78861
220	881	78907
221	886	78953
222	889	78894
223	893	78913
224	897	78904
225	902	78932
226	906	78987
227	910	78979
228	915	79059
229	920	79088
230	924	79156
231	928	79138
232	932	79101
233	936	79106
234	940	79082
235	943	79037
236	949	79156
237	953	79180
238	957	79169
239	961	79190
240	965	79136
241	969	79129
242	973	79110
243	977	79121
244	980	79087
245	985	79102
246	988	79063
247	992	79015
248	996	79033
249	999	78998
250	1003	78954
251	1006	78903
252	1010	78903
253	1014	78880
254	1018	78899
255	1022	78874
256	1026	78867
257	1031	78916
258	1035	78887
259	1038	78868
260	1042	78833
261	1045	78785
262	1049	78765
263	1053	78738
264	1057	78735
265	1061	78776
266	1065	78726
267	1069	78730
268	1073	78719
269	1077	78710
270	1080	78673
271	1084	78624
272	1087	78612
273	1092	78658
274	1095	78601
275	1099	78562
276	1103	78537
277	1107	78602
278	1113	78682
279	1117	78674
280	1124	78919
281	1130	79067
282	1135	79110
283	1141	79280
284	1145	79235
285	1148	79180
286	1154	79319
287	1159	79339
288	1163	79326
289	1166	79304
290	1170	79257
291	1175	79332
292	1179	79328
293	1183	79323
294	1187	79307
295	1191	79321
296	1195	79317
297	1199	79289
298	1203	79282
299	1207	79313
300	1210	79250
301	1214	79220
302	1218	79209
303	1222	79197
304	1226	79213
305	1230	79165
306	1233	79118
307	1237	79108
308	1240	79055
309	1243	78985
310	1246	78921
311	1250	78886
312	1254	78915
313	1258	78874
314	1261	78847
315	1265	78841
316	1269	78805
317	1273	78797
318	1276	78772
319	1280	78753
320	1283	78701
321	1287	78701
322	1290	78634
323	1294	78641
324	1298	78618
325	1302	78613
326	1306	78578
327	1309	78530
328	1313	78506
329	1316	78467
330	1320	78483
331	1324	78438
332	1327	78404
333	1330	78365
334	1334	78349
335	1337	78293
336	1341	78262
337	1345	78260
338	1348	78221
339	1352	78226
340	1356	78197
341	1360	78186
342	1363	78161
343	1367	78161
344	1371	78128
345	1374	78104
346	1378	78072
347	1382	78052
348	1385	78018
349	1388	77955
350	1392	77978
351	1396	77961
352	1400	77954
353	1404	77928
354	1412	78182
355	1418	78261
356	1422	78266
357	1426	78241
358	1430	78238
359	1434	78246
360	1437	78225
361	1441	78193
362	1444	78161
363	1449	78183
364	1453	78182
365	1456	78140
366	1460	78113
367	1463	78056
368	1467	78051
369	1471	78060
370	1475	78056
371	1479	78061
372	1484	78090
373	1487	78034
374	1490	78018
375	1494	77991
376	1498	78012
377	1502	78011
378	1506	78008
379	1509	77948
380	1513	77956
381	1518	78008
382	1522	77979
383	1526	77981
384	1530	77980
385	1534	77949
386	1537	77915
387	1540	77877
388	1544	77876
389	1549	77887
390	1552	77873
391	1556	77873
392	1559	77820
393	1564	77832
394	1567	77813
395	1571	77795
396	1574	77764
397	1578	77763
398	1582	77728
399	1585	77688
400	1589	77665
401	1592	77622
402	1595	77603
403	1599	77580
404	1602	77555
405	1606	77521
406	1610	77509
407	1613	77503
408	1617	77499
409	1621	77485
410	1625	77460
411	1628	77432
412	1632	77404
413	1635	77387
414	1640	77402
415	1644	77417
416	1648	77432
417	1652	77405
418	1655	77377
419	1658	77334
420	1662	77331
421	1665	77285
422	1669	77247
423	1672	77215
424	1675	77189
425	1680	77207
426	1685	77239
427	1688	77233
428	1692	77205
